Ost;Nord
1642390;6592239
1231490;6533920
1649182;6589435
1514525;6811521
1331205;6720493
1230773;6536646
1268827;6471134
1288574;6391231
1230261;6537807
1268827;6471134
1266223;6490411
1324693;6395836
1323711;6760096
1323711;6760096
1323536;6760250
1561929;6930407
1561023;6930919
1561846;6930528
1561846;6930528
1533716;6727607
1485323;6804508
1533716;6727607
1582165;6954410
1582165;6954410
1582343;6954670
1582343;6954670
1582121;6954200
1581727;6947868
1581641;6950567
1582165;6954410
1489731;6852772
1582165;6954410
1581810;6955793
1581810;6955793
1582439;6955559
1582283;6955552
1582283;6955552
1582283;6955552
1582576;6957380
1581810;6955793
1581810;6955793
1581810;6955793
1582576;6957380
1582135;6956764
1582135;6956764
1582135;6956764
1582135;6956764
1582135;6956764
1721043;7454397
1536661;7499706
1300290;6226950
1765998;7272235
1765998;7272235
1765998;7272235
1765998;7272235
1811908;7575521
1846360;7415242
1555191;6653123
1650572;6709652
1708417;7607103
1650309;6709346
1811908;7575521
1333137;6931550
1841764;7393571
1621255;6559449
1538132;7080111
1361685;6587180
1361685;6587180
1602497;6586599
1728023;7465672
1660735;6670320
1333082;6931550
1348056;6724884
1428637;6396969
1832853;7433787
1728914;7084992
1765973;7272237
1394525;6705508
1394612;6704307
1396805;6703727
1396551;6707737
1394947;6704124
1396805;6703727
1394947;6704124
1395122;6704185
1394525;6705508
1394684;6709910
1394600;6704956
1394883;6709316
1453727;6366435
1376606;6388325
1449878;6386705
1394684;6709910
1449878;6386705
1476250;6389801
1395122;6704185
1394826;6704531
1394600;6704956
1673967;6568435
1673715;6568817
1331484;6918317
1665866;7127509
1674040;6568560
1674164;6568423
1622909;6567719
1665917;7126821
1510650;7319928
1598930;6923062
1607821;6645937
1697290;7450452
1486961;7207310
1673715;6568817
1335949;6946225
1799325;7501552
1548126;6625052
1799143;7501697
1716247;7605995
1682805;7039659
1522034;7331307
1435171;6707866
1537714;6394417
1584692;6934206
1517500;7326452
1281204;6337888
1276735;6445172
1701327;7536509
1799597;7501217
1816865;7480207
1726872;7097562
1727136;7097194
1702844;7065939
1341587;6872515
1419740;6759790
1669270;6359099
1727073;7088460
1569876;7023235
1549872;7363657
1377573;6485243
1460240;6662760
1507960;6665196
1677258;6404772
1551490;6678049
1551490;6678049
1551490;6678049
1665842;7126813
1665858;7126807
1670150;7237850
1368020;6585040
1613143;7358267
1455651;6453650
1665860;7126790
1455651;6453650
1677335;6404763
1594384;7327430
1677594;6405402
1729900;7084515
1446877;7178396
1601982;7198997
1460486;6663396
1350104;6371980
1729900;7084515
1525611;6715009
1622630;6589140
1622673;6589070
1622796;6588971
1613168;6586092
1629240;6584629
1618218;6573994
1618864;6591229
1619133;6591096
1619131;6591085
1619128;6591114
1613180;6586115
1620138;6576989
1628669;6572487
1622480;6589298
1622567;6589202
1729943;7084537
1619186;6590987
1622572;6589192
1231352;6534187
1446877;7178396
1665917;7126821
1472538;6325983
1729307;7084916
1607531;7097778
1607469;7099093
1413650;6672710
1645707;7235835
1626652;7242053
1686397;7163103
1623393;7587931
1369088;6585166
1432208;6732111
1678257;7113450
1667086;7094323
1613223;6952472
1624532;7587186
1395823;6802383
1627074;6600999
1716607;7378573
1729307;7084916
1702844;7065939
1777290;7164972
1722630;7075590
1346392;6870231
1673967;6568435
1762182;7360541
1343144;6233551
1589834;6686408
1369981;6581865
1686938;6406154
1684864;6425995
1261300;6435500
1416987;7114556
1665766;7128029
1761174;7493002
1365606;6715336
1456003;6545953
1276546;6563937
1489852;6731810
1441485;7223728
1580914;7197911
1596440;7192948
1766567;7226339
1444810;7011199
1730734;7162584
1701377;7209347
1474286;6304652
1258202;6398677
1689486;7129030
1616262;7594513
1631850;7009230
1779481;7411257
1594560;7327333
1589764;6686394
1451172;6946795
1665861;7126798
1702844;7065939
1386543;6345378
1421393;6795031
1722782;7073587
1567650;6760524
1367563;6818322
1638878;6382244
1451695;6587974
1568046;6760872
1695169;7077754
1686528;7535560
1607013;7098394
1711204;7103055
1726835;7308174
1319444;6967862
1730938;7286621
1767599;7324352
1623691;7603054
1711204;7103055
1359570;6588400
1317498;6891846
1317498;6891846
1680406;7098405
1609456;7098186
1680406;7098405
1711204;7103055
1620142;6584369
