Ost;Nord
1442483;6574114
1437027;6620036
1437027;6620036
1437590;6620489
1437639;6620442
1437851;6620384
1437639;6620442
1461182;6589817
1461182;6589817
1451987;6576438
1443664;6591897
1451884;6576922
1450806;6575221
1468254;6548376
1450271;6577200
1453556;6574295
1450149;6577142
1450131;6577156
1438588;6620507
1457023;6587192
1457081;6588382
1448397;6578088
1451251;6576024
1270576;6400396
1257580;6398417
1270222;6401693
1403943;6210719
1403394;6211655
1634500;6568430
1634500;6568430
1634500;6568430
1634500;6568430
1334295;6637891
1314101;6256540
1324100;6225830
1344660;6211810
1314101;6256540
1314249;6256697
1405342;6389296
1231286;6534376
1230671;6537023
1404944;6204104
1404942;6204195
1626004;6582116
1511640;6684044
1615114;6556839
1619676;6557760
1619935;6557987
1619685;6557918
1619794;6557978
1621179;6561806
1621007;6560922
1621227;6560803
1621000;6559872
1615075;6556832
1614994;6556863
1619676;6557760
1619906;6557949
1619794;6557978
1621179;6561806
1621253;6560783
1614994;6556863
1615129;6556891
1615075;6556832
1623808;6585789
1615074;6563716
1410256;6394861
1410256;6394861
1477581;6354499
1436586;6420497
1474353;6389774
1448509;6396844
1594954;6606402
1597825;6607151
1544674;6616566
1482269;6356155
1475255;6361729
1476913;6355145
1481396;6356898
1628061;6582198
1379539;6394889
1531472;6278490
1520364;6284686
1518906;6285503
1427769;6394635
1458853;6366912
1429443;6367392
1433345;6365365
1451839;6397902
1451839;6397902
1450159;6397643
1450062;6387259
1458887;6366868
1453750;6366443
1429402;6367411
1433379;6365414
1451896;6398009
1450105;6397930
1450105;6397930
1428741;6396840
1447741;6418928
1449878;6386705
1476250;6389801
1476250;6389801
1397816;6420350
1397816;6420350
1397816;6420350
1409014;6390689
1471211;6362858
1476250;6389801
1449878;6386705
1447741;6418928
1376352;6228206
1373790;6228620
1629030;6581066
1350422;6642258
1324472;6254557
1318010;6288870
1321684;6282264
1541025;6275478
1629400;6601150
1628840;6606449
1381879;6490624
1451677;6508277
1451677;6508277
1380494;6155644
1304280;6362550
1416678;6629301
1394981;6182938
1420895;6273604
1314950;6561560
1346905;6585917
1346905;6585917
1341227;6734293
1346905;6585917
1346905;6585917
1394950;6613230
1346905;6585917
1508084;6585731
1293958;6354800
1292994;6335133
1292994;6335133
1276994;6350679
1543493;6624926
1293482;6334643
1402740;6255660
1400999;6277341
1402218;6279438
1399573;6276666
1401051;6277325
1402271;6279494
1399271;6276610
1402286;6279508
1402740;6255660
1402740;6255637
1400953;6277309
1401051;6277325
1400929;6276853
1401069;6277227
1401069;6277227
1399371;6278693
1401069;6277227
1401124;6277245
1439050;6368050
1367299;6601768
1443440;6722420
1337114;6740328
1332282;6747497
1330489;6749570
1374972;6662674
1316368;6752935
1293076;6602357
1287439;6614379
1346464;6683224
1367299;6601768
1367299;6601768
1395249;6615937
1428445;6579790
1621592;6568919
1302470;6224510
1425555;6770958
1327311;6944481
1285675;6337477
1515850;6629728
1534990;6702930
1534990;6702930
1450212;6608952
1611015;6647374
1596980;6642330
1607821;6645937
1601787;6640593
1596725;6642603
1596980;6642330
1601690;6640140
1601690;6640140
1601690;6640140
1596980;6642330
1758791;7221488
1405500;6201373
1382001;6925091
1526245;6750209
1530031;6744711
1295158;6569770
1327477;6577523
1369793;6582131
1341717;6688804
1402976;6549905
1321899;6772241
1299955;6578177
1345661;6682036
1316333;6762080
1323253;6760555
1297890;6599369
1315613;6594707
1315613;6594707
1312465;6619616
1312195;6619835
1321263;6671905
1400357;6588281
1400602;6582384
1400602;6582384
1351555;6375720
1384284;6473119
1472015;6383291
1395560;6346309
1476527;6362195
1476527;6362195
1387599;6423927
1454135;6359639
1308260;6321660
1270910;6416496
1722228;7138884
1481946;6610759
1481895;6610757
1481869;6610928
1481335;6613565
1482134;6617007
1714800;7087100
1539668;6991679
1712700;7096900
1470313;6978079
1507135;7121913
1454283;6898586
1465344;6896852
1712490;7096750
1462597;6971850
1470599;6978008
1501372;7094026
1562240;6323665
1712700;7096900
1714800;7087100
1712490;7096750
1685714;7103782
1619361;6604823
1394525;6705508
1396805;6703727
1396551;6707737
1394600;6704956
1395122;6704185
1394612;6704307
1394883;6709316
1394826;6704531
1394947;6704124
1470304;6762331
1394947;6704124
1395122;6704185
1394826;6704531
1394684;6709910
1394525;6705508
1394600;6704956
1396551;6707737
1396805;6703727
1394600;6704956
1460486;6663396
1460240;6662760
1460609;6663894
1507960;6665196
1508190;6665742
1507960;6665196
1508190;6665742
1460609;6663894
1619267;6600745
1621804;6600231
1470330;6762192
1470304;6762331
1394684;6709910
1621804;6600231
1765998;7272235
1765998;7272235
1507960;6665196
1460240;6662760
1508190;6665742
1508213;6665439
1460486;6663396
1765973;7272237
1460486;6663396
1507960;6665196
1599537;6598840
1778224;7163693
1353390;6141790
1361540;6144890
1324430;6166686
1352876;6142129
1394226;6184116
1488481;6267379
1338163;6138664
1339617;6180088
1361540;6144890
1324430;6166686
1324430;6166686
1407122;6161224
1359240;6600613
1359134;6600594
1333494;6560004
1485586;6472571
1374568;6484793
1369783;6582094
1369981;6581865
1372234;6595599
1372328;6594348
1372398;6593812
1329630;6575762
1329352;6580687
1366589;6587705
1423822;6592212
1236070;6534991
1330140;6559668
1426454;6587017
1349285;6631039
1367140;6588660
1366499;6588220
1235789;6541009
1406524;6556317
1367140;6588660
1349302;6631240
1369192;6588313
1368752;6588292
1368707;6587962
1361548;6603089
1366103;6587247
1388879;6585869
1395587;6601885
1301504;6550313
1244678;6546527
1375256;6667764
1375256;6667764
1366103;6587247
1366103;6587247
1247342;6547622
1354521;6594547
1518420;6479757
1363775;6630391
1359570;6588400
1415571;6554371
1415571;6554371
1418014;6561993
1418014;6561993
1418965;6580711
1236849;6535471
1366103;6587247
1367000;6587890
1346467;6728975
1343505;6731687
1236850;6535470
1371842;6584748
1371119;6585538
1366103;6587247
1364460;6586850
1235790;6541010
1359131;6600630
1236850;6535470
1358728;6602725
1358728;6602725
1367490;6588590
1355829;6708643
1346467;6728975
1343505;6731687
1368529;6630092
1366762;6588020
1367140;6588660
1324697;6736665
1324968;6736073
1354226;6594856
1367490;6588590
1362590;6596390
1369605;6630365
1364723;6627979
1362590;6596390
1358728;6602725
1361548;6603089
1367230;6588860
1370236;6588720
1235790;6541010
1247342;6547622
1366103;6587247
1235538;6539212
1359737;6587450
1367490;6588590
1354226;6594856
1359737;6587450
1359737;6587450
1367550;6586240
1359737;6587450
1373979;6672919
1235538;6539212
1369388;6621321
1369350;6630614
1368765;6630225
1368529;6630092
1367556;6629405
1368311;6631160
1375329;6664009
1366103;6587247
1367140;6588660
1367035;6588464
1366103;6587247
1359571;6588400
1359737;6587450
1360715;6587384
1360715;6587384
1327478;6400085
1373100;6617700
1367230;6588860
1367230;6588860
1366910;6588330
1366910;6588330
1364132;6586321
1359737;6587450
1234268;6543865
1235790;6541010
1359737;6587450
1359737;6587450
1394583;6609011
1393085;6611025
1393486;6610886
1393486;6610886
1366910;6588330
1364132;6586321
1366400;6587720
1366400;6587720
1364460;6586850
1327510;6577501
1367230;6588860
1364209;6586745
1366500;6588220
1459756;6471784
1447425;6452872
1443848;6456047
1459756;6471784
1329357;6584953
1329478;6584806
1327510;6577501
1507775;6583761
1366910;6588330
1367035;6588464
1359737;6587450
1366586;6588482
1366500;6588220
1367140;6588660
1369711;6620165
1366597;6587394
1366890;6588548
1354521;6594547
1372233;6595599
1549470;6269123
1543164;6286736
1367140;6588660
1367140;6588660
1367908;6588890
1367035;6588464
1354386;6594312
1372233;6595599
1390376;6586257
1366500;6588220
1372233;6595599
1364209;6586745
1364460;6586850
1366890;6588548
1401110;6584518
1379845;6655617
1369605;6630365
1369822;6582188
1497962;6504605
1372328;6594348
1359275;6600925
1358727;6602725
1366369;6588383
1531885;6439502
1531885;6439502
1531856;6439232
1359289;6588388
1366763;6588020
1372510;6592624
1372328;6594348
1372510;6592624
1375554;6668344
1367490;6588590
1372234;6595599
1373065;6598161
1367000;6583662
1370618;6589050
1366500;6588220
1367035;6588464
1329478;6584806
1327511;6577501
1312649;6590470
1311410;6592242
1369783;6582094
1369822;6582188
1358728;6602725
1366399;6587720
1361563;6587810
1426203;6585588
1426437;6589910
1236849;6535471
1372510;6592624
1369822;6582188
1231140;6534519
1367035;6588464
1366399;6587720
1366589;6587704
1366589;6587704
1358727;6602725
1366399;6587720
1370519;6588651
1520453;6477196
1300094;6584361
1400426;6588295
1236849;6535471
1369822;6582188
1369829;6581893
1601160;6981010
1490513;6473158
1230749;6537398
1250843;6465414
1268072;6443342
1263550;6456080
1397700;6553047
1333334;6635314
1393243;6583789
1574893;6349383
1574893;6349383
1589502;6721521
1590311;6716121
1590311;6716121
1589568;6721562
1489093;6657909
1275910;6390737
1424880;6625400
1358192;6335150
1316687;6608493
1283040;6374030
1332360;6292660
1332062;6271880
1332360;6292660
1233389;6532497
1233380;6532472
1233115;6533254
1232820;6532411
1254045;6530697
1402951;6507475
1360343;6479334
1360879;6479765
1402590;6508301
1360453;6477268
1382400;6611118
1402815;6507764
1537170;6349200
1344652;6491370
1520620;6347230
1531680;6347580
1540082;6357814
1544026;6284170
1473584;6874256
1533025;6332429
1515849;6329571
1532400;6346890
1520620;6347230
1532400;6346890
1531549;6347753
1531560;6353054
1536590;6349190
1379920;6146730
1376680;6145990
1376680;6145990
1376680;6145990
1379920;6146730
1403500;6201700
1357100;6169200
1354200;6173800
1385700;6177600
1358300;6166500
1357378;6170818
1336431;6178067
1336431;6178067
1338787;6219299
1394912;6140442
1536403;6707499
1692930;7109110
1621375;6641820
1621375;6641820
1475660;6595230
1814824;7317753
1797100;7290900
1270259;6401422
1270202;6401714
1269797;6401844
1478216;6467816
1531580;6439180
1624503;6582477
1637917;6590866
1661934;6563703
1622387;6582334
1537714;6394417
1624410;6574800
1328423;6226289
1379580;6484610
1333584;6209046
1545386;6293601
1278009;6382095
1607709;6624770
1624299;6634775
1313481;6235993
1379576;6486024
1275057;6384470
1275057;6384470
1332395;6272348
1529241;7128249
1317866;6289279
1534071;6344228
1540010;6357496
1520644;6347212
1532342;6346840
1536340;6350006
1536927;6349502
1527782;6346303
1532858;6347911
1531591;6353121
1451940;6736824
1282188;6338154
1400239;6398834
1577720;6641860
1482797;6729921
1482797;6729921
1482797;6729921
1478728;6695899
1409850;6462020
1408640;6531048
1263030;6420941
1268072;6391165
1520839;6271372
1450859;6391352
1370161;6468925
1599990;6631990
1604488;6631337
1578817;6650732
1578817;6650732
1539925;6811035
1602718;6647664
1599541;6633214
1482798;6701278
1599990;6631990
1599990;6631990
1599900;6632470
1360455;6796055
1419740;6759790
1599330;6633300
1599990;6631990
1599990;6631990
1419740;6759790
1604260;6634560
1529905;6824335
1332453;6941890
1599541;6633214
1344863;6967906
1419755;6759755
1704889;6432115
1599337;6632950
1600500;6633070
1600500;6633070
1600500;6633070
1599990;6631990
1599820;6631550
1307457;6294069
1298985;6389560
1309430;6369304
1321178;6370878
1313480;6361154
1310544;6387696
1323705;6370625
1323705;6370625
1311833;6377966
1293940;6379500
1309430;6369304
1321178;6370878
1297957;6387551
1321530;6374566
1317196;6384901
1311833;6377966
1300361;6516071
1312656;6529580
1313876;6535999
1313643;6532966
1315502;6533010
1312968;6529792
1295195;6542135
1465780;6608050
1465780;6608050
1456825;6600686
1456825;6600686
1465780;6608050
1456825;6600686
1465780;6608050
1258474;6398372
1465780;6608050
1465780;6608050
1588703;6724260
1465780;6608050
1576347;6929722
1567674;6937242
1567674;6937242
1626209;6982185
1567674;6937242
1576100;6918730
1576100;6918800
1576100;6918730
1576937;6921868
1567674;6937242
1576937;6921868
1576937;6921868
1467665;6473499
1594690;6694565
1407006;6199509
1396490;6182818
1345205;6664264
1347200;6182881
1355455;6187205
1358139;6166586
1358559;6166517
1348519;6182771
1352110;6177713
1353646;6177931
1352110;6177713
1393400;6200912
1392887;6201879
1353646;6177931
1355294;6176626
1355294;6176626
1392887;6201879
1393400;6200912
1344994;6175214
1465896;6236813
1354970;6173192
1455530;6367120
1455530;6367120
1453950;6359952
1373215;6588843
1373215;6588843
1373215;6588843
1628510;6565762
1618744;6990747
1413347;6237287
1521086;6263588
1613866;6594907
1463135;6539221
1615731;6590278
1572773;6652504
1392884;6201949
1755196;7135221
